Name,url
Davy Klaassen,/player/203483/davy-klaassen/
Jack Butland,/player/203042/jack-butland/
Simone Zaza,/player/202685/simone-zaza/
Thomas Meunier,/player/202371/thomas-meunier/
Felipe Anderson,/player/201995/felipe-anderson/
Rafinha,/player/201400/rafinha/
Nacho Fernández,/player/200724/nacho-fern%C3%A1ndez/
Jasper Cillessen,/player/199987/jasper-cillessen/
Sergi Roberto,/player/199564/sergi-roberto/
Wissam Ben Yedder,/player/199451/wissam-ben-yedder/
Lucas Pérez,/player/199354/lucas-p%C3%A9rez/
Ross Barkley,/player/199189/ross-barkley/
Wilfried Zaha,/player/198717/wilfried-zaha/
Bartra,/player/198141/bartra/
Serge Aurier,/player/197853/serge-aurier/
Sebastián Coates,/player/197655/sebasti%C3%A1n-coates/
Grzegorz Krychowiak,/player/197242/grzegorz-krychowiak/
Kevin Kampl,/player/195365/kevin-kampl/
Dejan Lovren,/player/195086/dejan-lovren/
Younès Belhanda,/player/193738/youn%C3%A8s-belhanda/
Mário Fernandes,/player/193525/m%C3%A1rio-fernandes/
Ricardo Rodríguez,/player/193352/ricardo-rodr%C3%ADguez/
Jesús Corona,/player/193165/jes%C3%BAs-corona/
Mario Gaspar,/player/192789/mario-gaspar/
Marcos Alonso,/player/192638/marcos-alonso/
Mario Götze,/player/192318/mario-g%C3%B6tze/
Lukáš Hrádecký,/player/190941/luk%C3%A1%C5%A1-hr%C3%A1deck%C3%BD/
Illarramendi,/player/190584/illarramendi/
De Marcos,/player/190149/de-marcos/
Chris Smalling,/player/189881/chris-smalling/
Jack Wilshere,/player/189461/jack-wilshere/
Sebastian Rudy,/player/189251/sebastian-rudy/
Manuel Lanzini,/player/188988/manuel-lanzini/
Ryad Boudebouz,/player/188388/ryad-boudebouz/
Camacho,/player/188005/camacho/
Paulinho,/player/187961/paulinho/
Nikola Kalinić,/player/185431/nikola-kalini%C4%87/
Giuliano,/player/184942/giuliano/
Diego Perotti,/player/183900/diego-perotti/
Marco Parolo,/player/183498/marco-parolo/
Konstantinos Mitroglou,/player/183483/konstantinos-mitroglou/
Mamadou Sakho,/player/183285/mamadou-sakho/
Adil Rami,/player/183280/adil-rami/
Stevan Jovetić,/player/181820/stevan-joveti%C4%87/
Séamus Coleman,/player/180216/s%C3%A9amus-coleman/
Adán,/player/178086/ad%C3%A1n/
Mathieu Valbuena,/player/177326/mathieu-valbuena/
Simon Mignolet,/player/173426/simon-mignolet/
Davide Astori,/player/173198/davide-astori/
Daniel Wass,/player/172522/daniel-wass/
Kevin Mirallas,/player/172175/kevin-mirallas/
Andrés Guardado,/player/171897/andr%C3%A9s-guardado/
Raúl García,/player/171579/ra%C3%BAl-garc%C3%ADa/
Carlos Vela,/player/169416/carlos-vela/
Martin Škrtel,/player/166706/martin-%C5%A1krtel/
Ashley Williams,/player/163824/ashley-williams/
Steve Mandanda,/player/163705/steve-mandanda/
Leighton Baines,/player/163631/leighton-baines/
Tom Heaton,/player/163264/tom-heaton/
Hatem Ben Arfa,/player/161648/hatem-ben-arfa/
Dante,/player/158625/dante/
André-Pierre Gignac,/player/153244/andr%C3%A9-pierre-gignac/
Joe Hart,/player/150724/joe-hart/
Gabi,/player/146954/gabi/
Gonzalo Rodríguez,/player/142780/gonzalo-rodr%C3%ADguez/
Darijo Srna,/player/139997/darijo-srna/
Bastian Schweinsteiger,/player/121944/bastian-schweinsteiger/
Cédric Carrasso,/player/116494/c%C3%A9dric-carrasso/
Moyá,/player/110677/moy%C3%A1/
Wayne Rooney,/player/54050/wayne-rooney/
Per Mertesacker,/player/53612/per-mertesacker/
Thiago Motta,/player/49370/thiago-motta/
Fernando Torres,/player/49369/fernando-torres/
Samuel Eto'o,/player/9676/samuel-etoo/
Marcos Acuña,/player/224334/marcos-acu%C3%B1a/
Youri Tielemans,/player/216393/youri-tielemans/
Jemerson,/player/215792/jemerson/
